glucose,oxygen,ammonium,phosphate,mu
0.7643939039934893,5.108730226741656,7.171159102935592,0.6285781761685169,0.06126924323893548
5.5273203888196925,8.350054523519438,4.822671008003313,1.4164767320474727,0.3458301258011143
7.764933726142463,3.7439634144120912,4.785825541010006,1.914759544628736,0.2578323422235332
1.0980689832969621,1.1592723472410507,2.1412303944633173,0.021690963712271402,0.04860380685792707
2.279296592869997,2.185501996011526,6.0625628615943015,0.387212472381354,0.10210148110855431
4.364133357458341,7.975530589601696,7.946534000972641,1.0971599111692092,0.31153486229028016
6.1539856782174835,2.021270647989574,6.019299593835985,1.1408656665044037,0.1755321722308885
4.409238273709828,2.769499973500802,4.099571549283918,0.08275472743792958,0.16195767985878826
5.37922410867646,8.25619131223593,1.2638896053866653,0.15706146259276704,0.1944077214327164
6.696189026617165,4.784775252088206,0.671509035067693,0.8918158685582597,0.10328951268576342
9.993908821061622,4.905420178391005,7.978568851134001,1.3859031148306278,0.3363789181727851
8.199918257942311,4.916242943477257,8.93761425612169,0.6513792777422629,0.3004951482964358
0.3047732635198116,6.390686314609292,6.207176528261928,0.13947875231900092,0.022582856698678083
7.059379915816068,3.947361200903835,5.52515579934889,0.6763955704203687,0.24947615440618326
6.270755650213945,7.496907418840729,3.0268289010854788,0.6953679740418687,0.33616876313745925
4.4310030902534505,9.445728409971741,7.383172101511469,0.5872059960136377,0.35538209095770756
1.1185950106234717,1.1919509638528996,9.515084452939641,1.8142968170375438,0.049962571436566246
9.00027282054165,5.993732304782427,5.100602070877298,0.7786697523652181,0.3477898405486684
0.5690736395250828,0.56925546735217,1.2819599205449275,1.5395771559460611,0.02087525265969787
2.409493728289006,5.3064555569001595,9.960579788735066,1.0486441866322747,0.19494372800072265
1.3432967494490966,9.708956198547572,0.3968468735625703,0.928649780690044,0.06104184501543512
5.657272926110786,9.646899415154051,6.032598859180471,0.521412639973461,0.38593915330419987
4.320478286661802,4.9682343166910155,4.2788731105715465,0.3597042930716359,0.2237241492279915
8.829975401555236,8.52833435784515,9.241367449520885,0.3889862461012811,0.417619865697688
9.927896800975589,2.4556787435873195,8.568752465296727,1.8319146465582166,0.26423398294699746
7.100866466897533,6.806637365175505,8.462192296883602,0.9912563776707736,0.33296439582525145
9.79526319000149,8.318011769525851,0.1073642271834537,1.5842876034948008,0.016514456715005114
2.488548837837915,0.18334836093851342,3.987112211688405,0.026044063384920886,0.04302103558873566
5.898658667946826,2.9393209033823773,8.251795862778293,0.4040286733342725,0.19691800808987653
8.428414184436384,3.3596645843914184,5.106100512050152,1.2205306992276033,0.2601104476637407
4.071375543371264,8.17780142630723,2.130548683963874,1.58364181358554,0.311474915037613
2.1694811887783296,1.0508133190359383,5.66629522952637,0.27850945938848254,0.06708610665526586
6.5109988199688305,8.138305656628818,6.573908132189974,0.7353484415015054,0.35955652162417473
8.540402235522258,7.604241872296473,8.015845933766988,0.04436122633653387,0.15899702176610503
1.0381245828223598,6.112382287082447,8.67292001136693,1.1318720611835462,0.08430919530809157
4.139717263348728,7.359260283694015,0.6040893014852502,1.4980504878626382,0.09291921077852505
3.46687078620782,6.401198885265208,1.7543939578399608,0.17167966525542194,0.24792300725995925
1.1426590206674903,4.304355010551471,6.304400155878477,0.8081599782174204,0.09310791331652546
5.511291675899365,5.768202122559009,5.553526726857899,1.300525721252328,0.27087484002833584
8.314058100752739,4.065640765047627,0.8591299482681559,0.4811874296462239,0.13214880076995345
7.579695968857097,4.256388153187989,6.10667066296059,0.9638224726095808,0.2689071947874589
3.539180149682115,5.2284116204259945,5.215845928028638,0.7741236969561819,0.21548098654592035
8.170992885834524,7.448869566955394,0.9765195363953424,1.8207311190366247,0.1502053163473249
9.110665473395413,6.4538118034656575,2.0520651824210017,1.7301669697792026,0.31564253289656435
2.0775367639152456,6.862352547681403,6.671423220577129,1.226980370506127,0.1717967533655312
2.863820861925326,1.441456354335572,7.968945608424639,0.9444190808785965,0.0923875791632752
6.339965139213213,7.95616484662893,4.0827017334260125,1.5949872218014725,0.3508406221594655
0.4850222925802856,5.638900816213049,9.320650140969798,1.1440941527982418,0.03775446328070273
2.11490936792482,5.922236197526606,1.4026270947491406,0.17641717428104436,0.174942413886471
