classification,Y_final,C_final,A_final,S_final,k_ox,D
coexistence,0.30962032784782906,7.429611605428185,7.907415171864782,0.0075622542421726726,0.0,0.02
coexistence,0.2850185079611788,7.4423890740818734,8.542662123960401,0.020883762908129197,0.0,0.052
coexistence,0.28897970547214563,7.435198072707172,8.432567886976093,0.03605152312035782,0.0,0.084
coexistence,0.293546421548969,7.426932161464586,8.308445141768328,0.05345630278696838,0.0,0.116
coexistence,0.2986600247469103,7.417470416676271,8.173180300047022,0.07363188941929523,0.0,0.148
coexistence,0.304423840996506,7.406528246202446,8.025207371459812,0.09729731044406159,0.0,0.18
coexistence,0.31097029693147077,7.393719993840859,7.86260456268353,0.125443805127194,0.0,0.212
coexistence,0.3184704091466106,7.3785098954644015,7.683022389844468,0.15947721701508166,0.0,0.244
coexistence,0.3271489359151313,7.3601294087976985,7.483546008389589,0.20145989086293448,0.0,0.276
coexistence,0.3373072812080252,7.337431463859013,7.260490655654763,0.25454560667434023,0.0,0.308
coexistence,0.3493592211919747,7.308617593467594,7.009079689048141,0.32380975245918575,0.0,0.34
coexistence,0.3638886491144085,7.270680924553561,6.722893887170579,0.4179776979005536,0.0,0.372
coexistence,0.3817470152434117,7.218141225844479,6.392809392986587,0.553424768866377,0.0,0.404
coexistence,0.4042264030812958,7.139708494155947,6.004557764597212,0.7649130126328504,0.0,0.436
coexistence,0.43338698399906,7.0073028106797475,5.531456365407747,1.141463999958487,0.0,0.468
coexistence,0.4727272727273507,6.723515151514366,4.901533684876527,2.000000000002447,0.0,0.5
coexistence,0.33814418298024906,7.410432676546253,7.284739373230884,0.008105672443212456,0.2,0.02
coexistence,0.2919621189806376,7.437353370251059,8.358587873905515,0.022239195634295317,0.2,0.052
coexistence,0.2965673111903718,7.429374339908855,8.23693043958487,0.03860261974091835,0.2,0.084
coexistence,0.30222421063429483,7.419898384011835,8.091118339625668,0.057618251884289345,0.2,0.116
coexistence,0.3086849266823774,7.408877939276963,7.930117287634428,0.07999592089372319,0.2,0.148
coexistence,0.31613495962214555,7.39589036415904,7.751387055436962,0.10673220919843039,0.2,0.18
coexistence,0.32483129375690156,7.380331940851408,7.551541302418505,0.13926843325774527,0.2,0.212
C_difficile_excluded,10.971141727545817,3.976877994049377e-09,-1.8188794568741532e-09,1.0819072588641465,0.2,0.244
C_difficile_excluded,10.690809589215796,3.5108748799968965e-11,-1.027374950514091e-09,1.7048675794116053,0.2,0.276
C_difficile_excluded,10.054971090449726,1.0667598713421852e-11,-2.0022366091888385e-09,3.117842011927776,0.2,0.308
C_difficile_excluded,7.600518004381333,6.433575660370747e-10,-5.251056081173935e-10,8.572182210341403,0.2,0.34
coexistence,1.992015818053342,3.9193622220483157,0.7182301437076488,7.970979664164854,0.2,0.372
coexistence,0.44551511000820015,7.101662890542191,5.466385788251045,0.7999790092855806,0.2,0.404
coexistence,0.5064712166863924,6.888294468696092,4.710400998714494,1.3757490672654886,0.2,0.436
coexistence,0.7759916898109954,0.22624669165383712,0.10334059006932322,22.98364060601833,0.2,0.468
coexistence,0.6618044109774297,0.0007307901223300016,0.00039819889283230044,23.989109786309054,0.2,0.5
coexistence,0.40915002228504865,7.362856869046795,6.0847122023622395,0.008900943430730071,0.4,0.02
