CDF87166.1	CP097135.1	78.723	376	381	3	378	165690	166817	0.0	632
CDF87166.1	CP097135.1	26.873	387	381	9	378	9956	8907	1.34e-16	80.5
CDF87166.1	CP097133.1	28.852	305	381	1	302	513891	514718	2.63e-24	103
CDF87166.1	CP097144.1	27.187	320	381	3	319	846491	845622	2.53e-21	95.1
CDF87166.1	CP097144.1	28.996	269	381	2	267	406028	406750	6.56e-21	93.6
CDF87166.1	CP097146.1	28.155	309	381	3	305	129117	128287	1.59e-20	92.4
CDF87166.1	CP097143.1	26.425	386	381	8	378	255226	254180	6.38e-18	84.7
CDF87167.1	CP097139.1	58.755	691	683	2	683	174771	176837	0.0	824
CDF87167.1	CP097137.1	29.558	362	683	283	637	190213	191184	3.21e-29	123
CDF87168.1	CP097141.1	60.596	302	296	1	296	318544	317642	2.38e-127	398
CDF87169.1	CP097144.1	42.996	514	556	69	553	161717	160200	4.58e-116	377
CDF87169.1	CP097145.1	33.981	103	556	79	180	418253	417951	2.01e-12	68.9
CDF87170.1	CP097146.1	41.039	558	567	9	557	952019	950352	3.04e-135	433
CDF87170.1	CP097146.1	30.926	540	567	44	565	254978	256525	3.28e-65	230
CDF87170.1	CP097147.1	35.539	529	567	35	556	41740	43296	2.20e-96	321
CDF87170.1	CP097147.1	25.731	342	567	221	556	24162	25139	1.67e-44	101
CDF87170.1	CP097147.1	33.155	187	567	14	199	23554	24099	1.67e-44	96.7
CDF87170.1	CP097145.1	34.160	524	567	47	563	139825	141342	5.10e-90	302
CDF87170.1	CP097145.1	32.923	568	567	9	566	138558	136918	3.68e-79	271
CDF87170.1	CP097136.1	31.239	573	567	6	566	29568	27931	1.89e-83	283
CDF87170.1	CP097133.1	30.515	544	567	29	553	481403	479799	7.38e-75	258
CDF87170.1	CP097133.1	29.603	554	567	19	554	355600	353984	2.32e-72	251
CDF87170.1	CP097133.1	28.596	584	567	2	562	358423	356768	2.45e-62	221
CDF87171.1	CP097135.1	33.524	349	583	240	583	574413	575447	1.09e-55	202
CDF87171.1	CP097135.1	33.524	349	583	240	583	591339	592373	1.09e-55	202
CDF87172.1	CP097143.1	25.285	439	476	40	464	998413	999561	1.18e-28	119
CDF87172.1	CP097146.1	25.901	444	476	29	463	33299	34447	6.61e-28	116
CDF87172.1	CP097145.1	20.763	472	476	24	472	728968	730308	6.79e-19	89.0
CDF87174.1	CP097142.1	75.478	314	314	1	314	25502	26443	3.12e-164	505
CDF87175.1	CP097139.1	64.993	737	743	1	734	64458	62287	0.0	993
CDF87178.1	CP097138.1	48.990	198	203	1	196	421516	422109	4.58e-61	204
CDF87179.1	CP097138.1	91.852	405	405	1	405	421241	420027	0.0	782
CDF87179.1	CP097138.1	38.462	247	405	146	386	1003427	1004158	8.41e-52	185
CDF87179.1	CP097138.1	33.913	230	405	146	372	546299	546970	5.44e-34	133
CDF87179.1	CP097142.1	51.133	309	405	83	391	175181	176107	5.22e-100	325
CDF87179.1	CP097142.1	38.667	225	405	150	365	72031	71366	2.17e-41	155
CDF87179.1	CP097146.1	45.938	357	405	33	389	783218	782169	3.78e-98	319
CDF87179.1	CP097146.1	49.310	290	405	107	396	514758	515627	9.81e-91	298
CDF87179.1	CP097135.1	42.670	382	405	7	385	1245543	1246670	1.46e-87	289
CDF87179.1	CP097135.1	49.057	212	405	72	283	443484	444119	1.77e-87	221
CDF87179.1	CP097135.1	50.476	105	405	286	390	444125	444439	1.77e-87	119
CDF87179.1	CP097135.1	38.745	271	405	104	373	244145	243360	5.71e-61	212
CDF87179.1	CP097135.1	35.241	332	405	64	384	243443	242466	2.06e-53	190
CDF87179.1	CP097135.1	33.333	150	405	168	314	1209564	1209148	1.34e-13	71.6
CDF87179.1	CP097143.1	34.817	382	405	23	398	910737	909688	1.01e-57	202
CDF87179.1	CP097143.1	39.827	231	405	146	371	911223	910540	1.59e-50	181
CDF87179.1	CP097143.1	38.272	243	405	142	380	57035	56319	3.29e-48	175
CDF87179.1	CP097143.1	38.034	234	405	143	371	58016	57324	5.88e-43	159
CDF87180.1	CP097138.1	49.716	1056	1095	43	1088	799350	802106	0.0	871
